"id" "refers"
"1417" "Fates Warning" 187
"1418" "John L. Gardner (brigadier general)" 12
"1419" "Philoctetes (Sophocles play)" 73
"1420" "Ouvrage Gondran" 63
"1421" "Old Bradwell United F.C." 66
"1422" "Frank Hansford" 6
"1423" "Générac, Gard" 356
"1424" "Pratt Historic Building" 6
"1425" "Petriscript" 1
"1426" "Zavarak, Amol" 361
"1427" "Tommy Quickly" 20
"1428" "Some Words with a Mummy" 93
"1429" "Finland at the 1912 Summer Olympics" 163
"1430" "Pfeiffer University" 245
"1431" "J. Norman" 3
"1432" "Adam Shabala" 10
"1433" "Renate Dorrestein" 12
"1434" "Bukovets, Sofia Province" 35
"1435" "Haissam Hussain" 23
"1436" "Maria Mambo Café" 3
"1437" "Takuya Igarashi" 28
"1438" "Donald Dillbeck" 2
"1439" "Siciu River" 2
"1440" "rage (TV program)" 325
"1441" "Roman Line" 1
"1442" "Redmayne" 1
"1443" "Eslam Chungar" 1
"1444" "Carlo Ercole Bosoni" 3
"1445" "Edvard Johanson" 1
"1446" "Carabinarni River" 2
"1447" "Cryptolechia municipalis" 1
"1448" "List of South of Nowhere episodes" 6
"1449" "2013 in country music" 116
"1450" "Pletvar" 62
"1451" "Resistance: The Gathering Storm" 8
"1452" "Elmsley" 1
"1453" "Veera Telangana" 4
"1454" "Wierciszewo, West Pomeranian Voivodeship" 40
"1455" "Manuel Antonio Valarezo Luzuriaga" 1
"1456" "Kurt Wüsthoff" 10
"1457" "Rich Christiano" 17
"1458" "Alastair Mackenzie" 38
"1459" "Allen H. Turnage" 110
"1460" "Real Pests" 1
"1461" "Fulki" 25
"1462" "Lost in the Meritocracy" 2
"1463" "Lawrence Osborne (footballer)" 2
"1464" "Junglee (company)" 102
"1465" "Zarautz" 178
"1466" "Ossonoba" 5
"1467" "Thomas Friedensen" 1
"1468" "Samsung Galaxy Core LTE" 495
"1469" "The Canterville Ghost (1985 film)" 23
"1470" "Longwood Avenue (IRT Pelham Line)" 23
"1471" "Ben Wallace (politician)" 48
"1472" "Dzianis Hancharonak" 10
"1473" "Babbacombe Theatre" 7
"1474" "Highway 65 (Saudi Arabia)" 5
"1475" "In the Claws of Brightness" 1
"1476" "Jeferey Muralt" 1
"1477" "Eric Funk" 4
"1478" "ATLiens" 61
"1479" "Sonny Burke" 210
"1480" "Traffic congestion" 698
"1481" "2001–02 Moldovan National Division" 150
"1482" "Yablonovsky (inhabited locality)" 2
"1483" "Philippe DeVille" 5
"1484" "Mario Thaler" 6
"1485" "Eumetabolodon" 27
"1486" "Lembi Vaher" 8
"1487" "CYP8B1" 60
"1488" "Chalk River Laboratories" 97
"1489" "Kill Switch (video game)" 30
"1490" "Love Somebody (EP)" 2
"1491" "Polocrosse" 580
"1492" "Krš, Croatia" 3
"1493" "Vexillum tumidum" 1
"1494" "Cudna noc" 2
"1495" "Silma Nature Reserve" 48
"1496" "Micromax Canvas A1" 338
"1497" "Madonna with Child and Saints (Filippino Lippi)" 2
"1498" "Kazuto Sakamoto" 3
"1499" "Hispano-Suiza" 301
"1500" "The Road to Middle-Earth" 21
"1501" "Cranioceras" 5
"1502" "TAP Boyz" 5
"1503" "Eino Rahja" 11
"1504" "Trevor Aaronson" 4
"1505" "Handley Page Jetstream" 177
"1506" "Piedmont Buggy Factory" 2
"1507" "Gnaeus Domitius Ahenobarbus (consul 192 BC)" 12
"1508" "Pearl M. & Julia J. Harmon Foundation" 0
"1509" "Basapattana" 66
"1510" "Jean-Michel Bombardier" 103
"1511" "Cristoforo Savolini" 6
"1512" "Srinath" 211
"1513" "Kharkiv Morozov Machine Building Design Bureau" 53
"1514" "Nicolas Caito" 2
"1515" "St James Square, Monmouth" 18
"1516" "Montmirat" 354
"1517" "Sulkovian dialect" 76
"1518" "Râu Sadului" 67
"1519" "State Line, Mississippi" 35
"1520" "Meguma terrane" 5
"1521" "Fall Creek (Missouri)" 1
"1522" "Adam Birtwistle" 2
"1523" "Angous" 548
"1524" "Antonio Margarito" 94
"1525" "Anti Social Media" 190
"1526" "Optimal estimation" 4
"1527" "2008 NCAA Division I Baseball Tournament" 339
"1528" "Momposónica" 0
"1529" "Hnin U Yaing" 4
"1530" "Francis John Byrne" 312
"1531" "Frederik Gottschalk von Haxthausen" 55
"1532" "Long Way Home (Dokken album)" 48
"1533" "Ben Wilson (speedway rider)" 32
"1534" "Rita Smart" 93
"1535" "Joan Specter" 5
"1536" "List of personal coats of arms of Presidents of Germany" 0
"1537" "Ulysses N. Arnett" 3
"1538" "Suely in the Sky" 15
"1539" "Friedrich Achleitner" 15
"1540" "Fault (technology)" 30
"1541" "Tidfrith of Dunwich" 29
"1542" "Marlon Rojas" 13
"1543" "Soldier (Neil Young song)" 4
"1544" "Murbat Stadium" 0
"1545" "Wischhafen" 46
"1546" "1995 North Indian Ocean cyclone season" 19
"1547" "Cyllodania" 2
"1548" "Mes Courants Électriques" 38
"1549" "Telmatobius ignavus" 2
"1550" "Granius Licinianus" 15
"1551" "Pneumatic fracturing" 0
"1552" "List of caves in South Africa" 80
"1553" "John Stapleton (MP)" 13
"1554" "Kaji (surname)" 2
"1555" "The Sunlight League" 3
"1556" "David J. Wolfson" 4
"1557" "Ann Miller" 205
"1558" "Clay County, Arkansas" 257
"1559" "5263 Arrius" 6
"1560" "Grogan, Minnesota" 25
"1561" "1956 All-Ireland Senior Hurling Championship" 324
"1562" "Peter Coffin (bishop)" 14
"1563" "Elaeocyma splendidula" 1
"1564" "Scaphiophryne gottlebei" 10
"1565" "Su I-chieh" 5
"1566" "Fernelmont Castle" 3
"1567" "Damselfish" 182
"1568" "WHFL-CD" 30
"1569" "Valley of Song" 16
"1570" "Giorgio Mortara" 3
"1571" "Lexington Cemetery" 226
"1572" "Illinois National Bank" 0
"1573" "Analogue terrestrial television in the United Kingdom" 379
"1574" "Tony Canham" 6
"1575" "Rayalaseema Parirakshana Samithi" 3
"1576" "Campuses of Arellano University" 7
"1577" "Seychelles house snake" 3
"1578" "Roger Williams Park" 31
"1579" "Acronicta bicolor" 1
"1580" "Devil's Dust" 42
"1581" "Fred Bickford" 7
"1582" "Bolbro" 91
"1583" "Thomas Maria Renz" 4
"1584" "Euxesta argentina" 1
"1585" "Olga A. Méndez" 24
"1586" "Carnival of Viareggio" 8
"1587" "Venture (TV series)" 58
"1588" "Daiwa Anglo-Japanese Foundation" 13
"1589" "List of Superfund sites in Nevada" 81
"1590" "1956 French Grand Prix" 174
"1591" "Katip Sadi" 4
"1592" "Wilfried Böse" 12
"1593" "Desktop notes" 9
"1594" "The Eleventh Tiger" 84
"1595" "Lachemilla rupestris" 2
"1596" "Harvard Street Neighborhood Health Center" 0
"1597" "Pace Shopping Mall" 34
"1598" "Ashok Veer Vikram Singh" 2
"1599" "Southern District (Hong Kong)" 292
"1600" "Chivelstone" 94
"1601" "New Western Pomerania" 15
"1602" "Dumarest saga" 4
"1603" "Moses Montefiore" 194
"1604" "Racécourt" 520
"1605" "Francis D. Raub Middle School" 5
"1606" "Marshfield Dreams" 0
"1607" "Governor of Michigan" 727
"1608" "Reveille (British political group)" 2
"1609" "Lincoln Township, Ogle County, Illinois" 63
"1610" "Stagg Street Studios" 9
"1611" "Öztürk Karatas" 4
"1612" "Sweden at the 1980 Summer Olympics" 231
"1613" "Anceya" 5
"1614" "Springfield, Illinois" 3140
"1615" "Live in Amsterdam (Janis Joplin album)" 35
"1616" "United States Attorney for the Southern District of California" 12
"1617" "Future Force Unit of Action" 4
"1618" "Modern Farmer (TV series)" 18
"1619" "Caiazzo" 138
"1620" "Cafeteria (bicosoecid)" 4
"1621" "Zachos" 0
"1622" "Saint Vincent Martyr School (Madison, New Jersey)" 26
"1623" "Steyr M" 41
"1624" "Legrand, British Columbia" 0
"1625" "Aflatoxin" 354
"1626" "Northwest Germanic" 198
"1627" "S.K. Mother International School" 0
"1628" "Shkumbin Arsllani" 3
"1629" "Janthinidae" 21
"1630" "Mayuko Irie" 4
"1631" "In Praise of Shadows" 13
"1632" "Coppingers Court" 4
"1633" "St. Charles Streetcar Line" 37
"1634" "CFL Combine" 32
"1635" "Marianne Elser Crowder" 3
"1636" "Boon Keng MRT Station" 163
"1637" "Double Cross (novel)" 62
"1638" "Makino Sadamichi" 74
"1639" "Walter Hooper" 31
"1640" "Gaoping, Guizhou" 3
"1641" "Nintendo Campus Challenge 1992" 1
"1642" "Ballymacarrett railway station" 6
"1643" "Hanina ben Pappa" 10
"1644" "Zivia Lubetkin" 25
"1645" "2005 Rugby League National Leagues" 36
"1646" "Elizabeth Arden Building" 2
"1647" "Bulbine semibarbata" 10
"1648" "Jatobá River" 3
"1649" "Tobias Barnerssoi" 12
"1650" "Metro Guelatao" 12
"1651" "Tomas Ramelis" 10
"1652" "Ernest Jones (retailer)" 5
"1653" "Motides" 47
"1654" "Diré Cercle" 121
"1655" "The Return of Navajo Boy" 28
"1656" "Ocumare de la Costa de Oro Municipality" 7
"1657" "Roman Bronfman" 11
"1658" "Deniz Aycicek" 4
"1659" "WQWK (AM)" 131
"1660" "UK Wrestling Mayhem" 1
"1661" "Frederick III of Legnica" 14
"1662" "George Baugh Allen" 3
"1663" "Materiana" 2
"1664" "Bud Spangler discography" 1
"1665" "Mamarazzi" 18
"1666" "Skjold Church (Rogaland)" 13
"1667" "Cecily Tynan" 6
"1668" "Coat of arms of Toronto" 164
"1669" "Child with a Dove" 1
"1670" "Daniel L. Akin" 11
"1671" "Ignorant Art" 34
"1672" "Akmanlar, Bartin" 1
"1673" "The Metric Marvels" 17
"1674" "Andorra national football team" 629
"1675" "Lobstick" 1
"1676" "Helderberg Reformed Dutch Church" 3
"1677" "Robert Frederick Collins" 15
"1678" "Radio Love Songs: The Singles Collection" 26
"1679" "Eastern Christian Middle School" 2
"1680" "Bullet tuna" 45
"1681" "Small nucleolar RNA Z175" 279
"1682" "Zelazy-Brokowo" 30
"1683" "Marenisco Township, Michigan" 51
"1684" "Over It (Katharine McPhee song)" 18
"1685" "Macrocallista" 4
"1686" "Bem (Star Trek: The Animated Series)" 34
"1687" "Jeunesses International Music Competition Dinu Lipatti" 1
"1688" "Muzafarabad, Karachi" 296
"1689" "John Nott" 175
"1690" "Bacchisa medioviolacea" 1
"1691" "Kotlówka, Masovian Voivodeship" 36
"1692" "Khalid Bin Mohsen Shaari" 1
"1693" "Central McDougall, Edmonton" 337
"1694" "Schwarzau im Schwarzautal" 75
"1695" "Firefall (ride)" 43
"1696" "Turbojet" 1215
"1697" "Gong Lei (sailor)" 5
"1698" "Janette Carter" 35
"1699" "List of male boxers" 9
"1700" "Albert Bregman" 6
"1701" "Tapiola, Michigan" 38
"1702" "Michael Gabay" 2
"1703" "Spelling Bee (game show)" 6
"1704" "Sonic & All-Stars Racing Transformed" 182
"1705" "Fruktsoda" 95
"1706" "Still D.R.E." 179
"1707" "The Christadelphian" 30
"1708" "Ken Phillips" 4
"1709" "Colachel (State Assembly Constituency)" 33
"1710" "Ectaco" 9
"1711" "Zenon Konopka" 59
"1712" "Gymnastics at the 2015 Summer Universiade – Women's balance beam" 15
"1713" "Caesar!" 7
"1714" "Jim Powers (baseball)" 8
"1715" "American Home" 3
"1716" "Rolls-Royce Power Systems" 76
"1717" "KCSF" 530
"1718" "Finnish Floorball Federation" 24
"1719" "Mónica Arriola Gordillo" 125
"1720" "Luvsjön" 0
"1721" "Unifying Theories of Programming" 8
"1722" "Aleksandrowo, Znin County" 23
"1723" "World-system" 16
"1724" "Sriyantha Dissanayake" 10
"1725" "Qingyun County" 136
"1726" "Nick Stokes" 47
"1727" "Koothu" 44
"1728" "Alfons Julen" 10
"1729" "Ðorde Tutoric" 21
"1730" "HAT medium" 9
"1731" "James Sanders House" 4
"1732" "Luke O'Reilly (alpine skier)" 5
"1733" "Henry Harcourt" 3
"1734" "National Register of Historic Places listings in Lava Beds National Monument" 2
"1735" "Arogyaswami Paulraj" 15
"1736" "Brett Wheeler" 8
"1737" "Augmented virtuality" 80
"1738" "FC Dürrenast" 33
"1739" "Nicolas Boulay" 67
"1740" "Vishal Haryana Party" 11
"1741" "Antonín Janoušek" 4
"1742" "Shtil (Calm)" 78
"1743" "Helen Ware" 41
"1744" "Banqiao Dam" 44
"1745" "SC Young Fellows Juventus" 183
"1746" "Darbid Haft Cheshmeh-e Sofla" 449
"1747" "Winter Park station" 49
"1748" "Fostershire" 14
"1749" "School's Out (song)" 291
"1750" "Ophiodermatidae" 5
"1751" "Mary Pitt" 4
"1752" "ibiblio" 87
"1753" "Perfect totient number" 194
"1754" "IQSEC1" 1
"1755" "Milan Poparic" 2
"1756" "We Have Sound" 2
"1757" "Kentucky Route 53" 31
"1758" "Equestrian at the 1996 Summer Olympics – Team dressage" 12
"1759" "Leo Connellan" 8
"1760" "Scoparia acropola" 2
"1761" "Maysionvara" 0
"1762" "Workers Autonomous Federation" 2
"1763" "Argentine general election, 1999" 76
"1764" "Carpatair destinations" 1
"1765" "AmericanEast" 15
"1766" "Turbonilla crickmayi" 1
"1767" "Mytarz" 19
"1768" "Claes Månsson" 15
"1769" "Miss Europe 1930" 12
"1770" "Red Covered Bridge (Rosedale, Indiana)" 26
"1771" "Acanthobunocephalus nicoi" 1
"1772" "Rabih Kayrouz" 48
"1773" "The Next Decade (book)" 5
"1774" "Thomas Harold Wood" 3
"1775" "List of people from Albuquerque" 20
"1776" "Animation (journal)" 6
"1777" "Deutsche Schule Prag" 35
"1778" "No Rest for the Wicked (webcomic)" 11
"1779" "Varicose rocksnail" 4
"1780" "Eli Dingle" 195
"1781" "Adventure travel" 388
"1782" "Bebe Miller" 16
"1783" "Neukirchen, Nordfriesland" 140
"1784" "Paul Shrivastava" 4
"1785" "Solar power in Turkey" 123
"1786" "Mammillaria anniana" 2
"1787" "Frimley Park Hospital NHS Foundation Trust" 7
"1788" "Ratkovac" 5
"1789" "Lindblad superoperator" 6
"1790" "Abbey Road" 619
"1791" "B. B. Warfield" 71
"1792" "George Macleay" 27
"1793" "Frankford Yellow Jackets" 536
"1794" "Trichoneura (insect)" 3
"1795" "Turlock Express" 198
"1796" "Tamarod" 117
"1797" "Magnificent Butcher" 22
"1798" "Leskovec, Slovenska Bistrica" 79
"1799" "Oyano, Kumamoto" 7
"1800" "Elastic mechanisms in animals" 0
"1801" "CIEL-FM-4" 20
"1802" "Arto Melleri" 5
"1803" "CYFIP2" 1
"1804" "Cheyenne (Jason Derulo song)" 31
"1805" "Beryl Anthony, Jr." 135
"1806" "Niegardów" 29
"1807" "Tiffany Giardina" 13
"1808" "Cornwall-Lebanon School District" 12
"1809" "Wheels (The String-A-Longs song)" 21
"1810" "Aino Mantsas" 6
"1811" "Kotlandi" 113
"1812" "Cistanthe umbellata" 8
"1813" "Iris nelsonii" 5
"1814" "Jeanne Tsai" 2
"1815" "The Guernsey Literary and Potato Peel Pie Society" 8
"1816" "Dean Radin" 201
"1817" "Nikola Savcic" 2
"1818" "Gisèle Pineau" 6
"1819" "Dimitar Agura" 4
"1820" "Anatoli Filatov" 4
"1821" "Malloy v. Hogan" 14
"1822" "John Dexter" 144
"1823" "Wenshui Road Station" 33
"1824" "Cycling at the 2011 European Youth Summer Olympic Festival" 10
"1825" "The Tale of the Destruction of Ryazan" 3
"1826" "SS Rob Roy" 2
"1827" "Blythe Hill Fields" 2
"1828" "Hinojares" 95
"1829" "Lubov Iliushechkina" 144
"1830" "Viodos-Abense-de-Bas" 551
"1831" "Hassan Chaito" 17
"1832" "Pat Ralph" 3
"1833" "George Grigor" 5
"1834" "Earl Tupper" 96
"1835" "Fahmy" 0
"1836" "Battle of 42nd Street" 8
"1837" "Barbie Fashion Show: An Eye for Style" 8
"1838" "Soucieu-en-Jarrest" 233
"1839" "Mazraeh-ye Hadi Keshtkaran" 270
"1840" "Kanjiramvila Bhagavathi Temple" 1
"1841" "Beechwood Elementary School" 15
"1842" "Arivaca ostreella" 2
"1843" "Shall-Zwall language" 143
"1844" "Bucharest Open" 76
"1845" "Lincoln-Way North High School" 24
"1846" "Stevenson-Wydler Technology Innovation Act of 1980" 12
"1847" "Capital Football State League" 33
"1848" "Harold Jones (footballer)" 2
"1849" "Joe Dumars" 654
"1850" "Screen Actors Guild Award for Outstanding Performance by a Stunt Ensemble in a Motion Picture" 54
"1851" "Qeshlaq-e Qanbarlu Rostam Qanbarlui-ye Vosta" 250
"1852" "Majemite Omagbaluwaje" 2
"1853" "1650s in archaeology" 85
"1854" "Prison warden" 416
"1855" "Calycidiaceae" 1
"1856" "HMS Oakley" 4
"1857" "Judith Haspel" 13
"1858" "North Dakota gubernatorial election, 1992" 157
"1859" "Ralph Thornton Community Centre" 5
"1860" "Sandefjord Museum" 8
"1861" "Niclas Sandells" 10
"1862" "Initao, Misamis Oriental" 47
"1863" "Baljinder" 0
"1864" "Bergensk" 111
"1865" "Nai Talim" 193
"1866" "Autonomous University of Baja California Sur" 9
"1867" "Starman (song)" 281
"1868" "Klippans FF" 35
"1869" "Vivian Township, Waseca County, Minnesota" 32
"1870" "Chief Financial Officer of Florida" 152
"1871" "Western Bank v Pretorius" 2
"1872" "Lee Sang-do" 16
"1873" "Ware & Treganza" 15
"1874" "Captured Live at the Forum" 50
"1875" "Clifford Lincoln" 29
"1876" "Chittenden-5-2 Vermont Representative District, 2002–12" 17
"1877" "Tenantry Column" 6
"1878" "Visoka (Kuršumlija)" 2
"1879" "Benu Sen" 4
"1880" "William Brennan (baseball)" 8
"1881" "Zadig" 44
"1882" "Gavintra Photijak" 12
"1883" "Coke Studio Pakistan (season 7)" 27
"1884" "Li Nai" 1
"1885" "Wade Park" 24
"1886" "Six Mile Creek (Minnesota)" 4
"1887" "English Electric EL.100" 62
"1888" "Eickhoff" 4
"1889" "WYYS" 43
"1890" "Walter Scott (Australian politician)" 11
"1891" "South Dakota Coyotes men's basketball" 94
"1892" "Khalor" 75
"1893" "Najasa" 18
"1894" "Acropolis Technical Campus" 1
"1895" "SV Zulte Waregem (women)" 32
"1896" "1992–93 Detroit Red Wings season" 122
"1897" "Syd Vanderpool" 9
"1898" "Makakilo, Hawaii" 88
"1899" "Kafald" 2
"1900" "List of English by-elections (1689–1700)" 27
"1901" "Arturo Barrios" 80
"1902" "Basic and Applied Social Psychology" 6
"1903" "Armorial of the Communes of Oise" 19
"1904" "List of festivals in Tunisia" 8
"1905" "Non-affiliated members of the House of Lords" 115
"1906" "Madina Colony, Orangi Town" 298
"1907" "Gaby Mellado" 3
"1908" "Caleana" 4
"1909" "Maryse Wolinski" 3
"1910" "Daniella Pavicic" 2
"1911" "Cape Boggs" 6
"1912" "Dmitri Vrubel" 8
"1913" "Trichomanes speciosum" 10
"1914" "H Velorum" 55
"1915" "Stockings with Care" 0
"1916" "Aura Mayfair" 4
"1917" "Qassab Mahalleh, Shaft" 105
"1918" "Kastamonu Vilayet" 134
"1919" "Rhinactinidia" 8
"1920" "U.S. Route 70 in North Carolina" 315
"1921" "Wayne Busette" 10
"1922" "Killick's Mill, Meopham" 265
"1923" "Web of the Romulans" 3
"1924" "Thomas Kunnunkal" 2
"1925" "Ryou-Un Maru" 28
"1926" "Monsters (Japanese TV series)" 2
"1927" "Bullying in Higher Education" 124
"1928" "William Alexander Mackinnon (1784–1870)" 25
"1929" "Ian Napier" 8
"1930" "Mizuno Tadatomo" 5
"1931" "Nwoduo" 0
"1932" "Authenticated Key Exchange" 0
"1933" "Roxarsone" 18
"1934" "Matt Maher" 82
"1935" "Patricia Rozario" 10
"1936" "Podocarpus micropedunculatus" 2
"1937" "Yuya Miyashita" 8
"1938" "The Doctor's Dilemma (film)" 57
"1939" "Judiciary of Somalia" 188
"1940" "Norwegian Ninja" 9
"1941" "Lawrence Chandler" 14
"1942" "Unto a Good Land" 19
"1943" "Kenneth Blaxter (animal nutritionist)" 38
"1944" "Gadish" 35
"1945" "Feyzin disaster" 5
"1946" "Polish Army Museum" 120
"1947" "Stoney Indian Reserves Nos. 142, 143, and 144" 98
"1948" "Alamarvdasht Rural District" 179
"1949" "Zambar (restaurant)" 1
"1950" "Fédération Libanaise de Cyclisme" 67
"1951" "The Fox (novella)" 53
"1952" "Melbourne School of Theology" 26
"1953" "Kašce" 1
"1954" "W. Metcalfe and Son" 7
"1955" "Long pepper" 246
"1956" "All I Hear" 9
"1957" "Prionapteryx triplecta" 1
"1958" "Louis Plack Hammett" 364
"1959" "Zhu Jin" 32
"1960" "Robert W. Decker" 17
"1961" "Dipsas" 12
"1962" "Canscora" 3
"1963" "Asplundia lilacina" 2
"1964" "Mahmudiyeh, Markazi" 78
"1965" "Fosieby industriområde" 142
"1966" "Alberprosenia" 1
"1967" "Papyrus Oxyrhynchus 654" 270
"1968" "Maragua" 11
"1969" "Greater Richmond Region" 521
"1970" "Dorien Wilson" 24
"1971" "Commanding General, United States Army Forces Command" 2
"1972" "Tibor Gergely" 11
"1973" "Tribunal do Povo" 0
"1974" "Hidabu Abote" 15
"1975" "Rob Miller (footballer)" 4
"1976" "Heckman correction" 12
"1977" "New York State Department of Health" 106
"1978" "Kim 500 Bin Ister?" 2
"1979" "Mud Lake (Arkansas)" 6
"1980" "John Balmbra" 3
"1981" "Marina Romea" 2
"1982" "Harald Sunde (footballer)" 36
"1983" "Francis Willis (physician)" 17
"1984" "Phillip Garner" 2
"1985" "Alliance Medical" 2
"1986" "Ilya Gruznov" 1
"1987" "Axiopoeniella octocentra" 2
"1988" "Shafie Apdal" 52
"1989" "Imre Kiss (footballer born 1957)" 24
"1990" "Amblytelus discoidalis" 1
"1991" "Michelle Magorian" 22
"1992" "Dabrówka, Lubaczów County" 13
"1993" "Götzinger Höhe" 1
"1994" "Return to Labyrinth" 10
"1995" "George Van Eps" 34
"1996" "Association internationale des femmes" 7
"1997" "Howard Rich" 8
"1998" "Modoc YT-16" 2
"1999" "Terbaik" 1
"2000" "Abrams' law" 0
"2001" "Solsidan (TV series)" 17
"2002" "Kilrea" 189
"2003" "2005 in television" 535
"2004" "Bavarian C IV" 86
"2005" "Polymer-bonded explosive" 62
"2006" "New Zealand women's national rugby union team" 362
"2007" "Joaquin Dorfman" 2
"2008" "Lord of the Birdcage" 88
"2009" "Judaism 4 U" 0
"2010" "Karetai" 0
"2011" "Thelepogon" 4
"2012" "Brian Potter" 35
"2013" "1961 Japan Series" 67
"2014" "The Chart (newspaper)" 7
"2015" "Elk Knob State Park" 118
"2016" "Loving Che" 2
"2017" "Carlsberg Meridian Telescope" 8
"2018" "The Sunday Drivers" 4
"2019" "Ed Garlick" 1
"2020" "Fiji One" 11
"2021" "Hungarian dance" 27
"2022" "Canada men's national soccer team records" 38
"2023" "History of segregation in the United States Armed Forces" 3
"2024" "Rizvand, Kermanshah" 769
"2025" "Uncle and Claudius the Camel" 3
"2026" "Matthew Curling Friend" 1
"2027" "Somos Novios (It's Impossible)" 249
"2028" "The Investiture of the Gods (2014 TV series)" 59
"2029" "Suzannah Lessard" 7
"2030" "Popov (crater)" 6
"2031" "Columbus Hatchett House" 1
"2032" "Raber, Indiana" 24
"2033" "Mohamed Rasheed" 39
"2034" "Servando" 0
"2035" "Rural Municipality of Frenchman Butte No. 501" 345
"2036" "SOS response" 66
"2037" "Chevrotain" 517
"2038" "Coloured Book protocols" 17
"2039" "Tallahassee Historic District Zones I And II" 2
"2040" "Albania's Next Top Model" 128
"2041" "Erik de Haan" 2
"2042" "History of Assamese literature" 27
"2043" "Jin Sun-kuk" 6
"2044" "Volt Technical Resources" 3
"2045" "Qaleh-ye Teyn" 216
"2046" "Antonio Sancho" 41
"2047" "Dermod O'Brien, 2nd Baron Inchiquin" 65
"2048" "Aeghyna" 3
"2049" "Ballinasloe GAA" 87
"2050" "Option 30" 118
"2051" "Belmaneh-ye Sofla" 769
"2052" "Tales from Moominvalley" 47
"2053" "John Scott McRoberts" 1
"2054" "Limited-run series" 4
"2055" "Louis Rudolph, Duke of Brunswick-Lüneburg" 141
"2056" "Lee Yangji" 5
"2057" "Daniel Morar" 3
"2058" "Yoshimi Ogawa" 3
"2059" "O Bidú: Silêncio no Brooklin" 15
"2060" "Ocey Snead" 2
"2061" "Michael Knowles (politician)" 12
"2062" "Pawlów Dolny" 50
"2063" "One of Us Tripped" 12
"2064" "Micah P. Hinson and the Gospel of Progress" 1
"2065" "Kim Jun-young" 1
"2066" "Look Who's Talking (song)" 14
"2067" "Serrières, Ardèche" 345
"2068" "Nabucco pipeline" 226
"2069" "Manis (orangutan)" 4
"2070" "Mary Elizabeth Carnegie" 6
"2071" "Kil-Kare Raceway" 63
"2072" "Oldrich Majda" 1
"2073" "Pump Up the Jam: The Album" 16
"2074" "1934 German football championship" 154
"2075" "Congress of Nuevo León" 18
"2076" "804" 15
"2077" "Sir Nicholas Bacon, 14th Baronet" 13
"2078" "Preston Sturges" 361
"2079" "I'll Be the Tornado" 3
"2080" "Scot McKnight" 20
"2081" "Hieracon" 8
"2082" "Mount Olympus, Los Angeles" 6
"2083" "Académico do Aeroporto" 30
"2084" "Joseph Wells (athlete)" 4
"2085" "Mauritanian Party for Renewal" 5
"2086" "Niki Nikolic" 5
"2087" "Hoot Hester" 190
"2088" "Anthony Williams (musician)" 8
"2089" "Annetta Kapon" 2
"2090" "Guy Nzouba-Ndama" 3
"2091" "Buzuluk River (Volgograd Oblast)" 2
"2092" "Digital Phobic" 6
"2093" "The Belle Stars" 42
"2094" "Lee Sala" 2
"2095" "Palmyra sprout" 3
"2096" "Artemisia (album)" 6
"2097" "Melle station" 10
"2098" "Max Lang" 11
"2099" "Litaneutria longipennis" 2
"2100" "Tycho Brahe Prize" 5
"2101" "Timeline of the Byzantine Empire" 1
"2102" "John Anagnostes" 65
"2103" "Abdal Bela" 2
"2104" "Roland Pryzbylewski" 209
"2105" "Horned Toad Hills" 2
"2106" "Jim Fallon (rugby)" 7
"2107" "John Galvin (general)" 90
"2108" "Merriam Park Subdivision" 9
"2109" "Daily News (Tanzania)" 103
"2110" "ZYN!" 0
"2111" "Helpers at the nest" 55
"2112" "Volcán Bárcena" 1
"2113" "Yevdokim Zyablovskiy" 1
"2114" "Jane Gilmore Rushing" 12
"2115" "82 Hudson" 7
"2116" "List of members of the Italian Senate, 1996–2001" 9
"2117" "Adam Webster (footballer, born 1995)" 45
"2118" "2012 Indonesia Super League U-21 group stage" 16
"2119" "Lyman Trumbull" 221
"2120" "Mariana van Zeller" 10
"2121" "Sisyrinchium angustifolium" 7
"2122" "Matthew White (countertenor)" 19
"2123" "Miles Crispin" 22
"2124" "Doombound" 9
"2125" "Mountain City, Tennessee" 81
"2126" "Ya'arab bin Bel'arab" 15
"2127" "Jean Pascal Sébah" 5
"2128" "Clement Kinloch-Cooke" 17
"2129" "36th Parliament of British Columbia" 22
"2130" "Minuscule 158" 2
"2131" "PPG tankette" 57
"2132" "Radical 151" 222
"2133" "Oliver Hudson" 68
"2134" "Nicolò Rusca" 2
"2135" "Captain Novolin" 8
"2136" "Steel dragon" 3
"2137" "Volvo China Open" 125
"2138" "Hippocampus colemani" 3
"2139" "Proton-enhanced nuclear induction spectroscopy" 3
"2140" "Comitas rex" 2
"2141" "Artsakh University" 11
"2142" "1989 World Series" 739
"2143" "Thomas Tommasina" 1
"2144" "The Ace of Scotland Yard" 146
"2145" "Keulenberg" 2
"2146" "Jaanus Kuum" 8
"2147" "Nikki & Rich" 9
"2148" "HMS Ark Royal (91)" 451
"2149" "King's Quest VII" 95
"2150" "French departments of Greece" 70
"2151" "2000 Albanian Supercup" 29
"2152" "Jack Anderson (dance critic)" 84
"2153" "List of religious orders in the Roman Catholic Archdiocese of New York" 7
"2154" "Luis Da Silva" 10
"2155" "Mark Davies (rugby player)" 5
"2156" "1940 in science" 54
"2157" "Michael Lorenzen" 84
"2158" "Kalmia microphylla" 8
"2159" "Danae-class cruiser" 317
"2160" "Constituency NA-211" 276
